Reference,Quantity,Value,Manufacturer,Manufacturer Part Number,Digikey Part Number
"D1, D3, D5, D7, D9, D10, D11, D12",8,D,ON Semiconductor,BAS16LT1G,BAS16LT1GOSCT-ND
"D2, D4, D6, D8",4,LED,W�rth Elektronik,150120GS75000,732-4990-1-ND
"J1, J3, J5, J6, J8",5,TE-3-213598-4,TE Connectivity AMP Connectors,3-213598-4,3-213598-4-ND
J2,1,Screw_Terminal_01x03,Phoenix Contact,1935789,277-6072-ND
"J4, J7",1,Screw_Terminal_01x05,Phoenix Contact,1935190,277-1580-ND
"K1, K2, K3, K4",4,G5LE-14,Omron Electronics Inc-EMC Div,G5LE-14 DC3,Z3326-ND
PS1,1,HLK-PM03,Hi-Link,HLK-PM03,
"Q1, Q2, Q3, Q4",4,DMG3418L,Diodes Incorporated,DMG3418L-7,DMG3418L-7DICT-ND
"C1, C2, C3, C4",4,0.047uF,Kemet,C1206C473KAREC7800,399-C1206C473KAREC7800CT-ND
C5,1,10uF,AVX Corporation,TAJA106K016SNJ,478-8875-1-ND
C6,1,0.1uF,Kemet,C1206C104K5RAC7800,399-C1206C104K5RAC7800CT-ND
C7,1,220uF,Würth Elektronik,860020273009,732-8911-1-ND
C8,1,1nF,Kemet,C901U102MYVDBA7317,399-9464-1-ND
"R2, R4, R5, R7",4,100k,Yageo,RC0805FR-07100KL,311-100KCRCT-ND
U1,1,74HC595,Toshiba Semiconductor and Storage,74HC595D,74HC595DCT-ND
V1,1,TMOV14RP140E ,"Littlefuse, Inc",TMOV14RP140E ,F4004-ND
